period,productId,productName,activityId,activityName,countryRegionId,countryRegionName,countryRegionTypeId,countryRegionTypeName,dataFlagId,dataFlagDescription,unitName,value,unit
2021,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,603.3208068518326,QBTU
2020,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,576.6050035384295,QBTU
2019,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,600.8985987911354,QBTU
2018,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,598.520534979281,QBTU
2017,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,584.673645140766,QBTU
2016,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,573.6528657884143,QBTU
2015,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,566.1819614566735,QBTU
2014,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,566.6358431135232,QBTU
2013,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,561.6850805501331,QBTU
2012,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,551.830755026231,QBTU
2011,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,541.4184266568514,QBTU
2010,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,527.2816248873089,QBTU
2009,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,494.72632888049253,QBTU
2008,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,499.92111434278934,QBTU
2007,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,493.06901638394135,QBTU
2006,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,479.7023466214193,QBTU
2005,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,464.93206318414195,QBTU
2004,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,450.32307921952867,QBTU
2003,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,428.12166447124287,QBTU
2002,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,413.78186916378246,QBTU
2001,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,405.0395555624338,QBTU
2000,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,402.1418447061608,QBTU
1999,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,389.56970979849353,QBTU
1998,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,382.41165758244034,QBTU
1997,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,380.14437145555246,QBTU
1996,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,378.9840142798609,QBTU
1995,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,369.14221458634177,QBTU
1994,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,359.2764751362317,QBTU
1993,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,355.47710623688056,QBTU
1992,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,352.6317397416437,QBTU
1991,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,353.72030960768217,QBTU
1990,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,353.4215502948315,QBTU
1989,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,351.39252448833645,QBTU
1988,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,345.57165922514815,QBTU
1987,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,332.764973644961,QBTU
1986,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,322.2305592837369,QBTU
1985,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,315.4802469287863,QBTU
1984,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,307.2929353953119,QBTU
1983,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,293.7431686736202,QBTU
1982,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,289.7485841865762,QBTU
1981,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,289.46095348072834,QBTU
1980,44,Primary energy,2,Consumption,WORL,World,r,Region,,,quadrillion Btu,292.93991538631695,QBTU
