period,productId,productName,activityId,activityName,countryRegionId,countryRegionName,countryRegionTypeId,countryRegionTypeName,dataFlagId,dataFlagDescription,unitName,value,unit
2022,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,11.0,Data row has been initialized,thousand barrels per day,--,TBPD
2021,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,97264.19775907582,TBPD
2020,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,91583.35048792923,TBPD
2019,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,100902.42214679765,TBPD
2018,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,100052.86536319632,TBPD
2017,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,99055.22978483464,TBPD
2016,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,96954.38499458319,TBPD
2015,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,95481.15766997497,TBPD
2014,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,93690.5445758072,TBPD
2013,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,92146.83571633458,TBPD
2012,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,90664.56766130096,TBPD
2011,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,89397.31270878576,TBPD
2010,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,88805.90849502162,TBPD
2009,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,86029.00399020356,TBPD
2008,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,86862.67569050571,TBPD
2007,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,87448.18016307107,TBPD
2006,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,85773.34209684531,TBPD
2005,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,84659.48902813409,TBPD
2004,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,83448.04042996907,TBPD
2003,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,80286.11687473019,TBPD
2002,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,78647.40463156605,TBPD
2001,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,77760.26009696406,TBPD
2000,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,77047.91185889486,TBPD
1999,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,75523.21600043535,TBPD
1998,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,73902.69465003561,TBPD
1997,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,73083.80538682466,TBPD
1996,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,71870.46613376884,TBPD
1995,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,69797.44460175507,TBPD
1994,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,68376.30340413698,TBPD
1993,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,66989.72191224658,TBPD
1992,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,67185.41878647234,TBPD
1991,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,66930.59273434247,TBPD
1990,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,66658.53165,TBPD
1989,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,66046.80370290412,TBPD
1988,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,64947.83862657414,TBPD
1987,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,63065.34719819178,TBPD
1986,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,61828.714125972605,TBPD
1985,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,60164.603423806424,TBPD
1984,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,59892.295658870564,TBPD
1983,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,58887.262083002235,TBPD
1982,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,59653.60138821889,TBPD
1981,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,60937.91981561333,TBPD
1980,5,Petroleum and other liquids,2,Consumption,WORL,World,r,Region,,,thousand barrels per day,63136.98901804046,TBPD
