period,productId,productName,activityId,activityName,countryRegionId,countryRegionName,countryRegionTypeId,countryRegionTypeName,dataFlagId,dataFlagDescription,unitName,value,unit
2023-05,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,100534.36198088745,TBPD
2023-04,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101191.20892758247,TBPD
2023-03,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101415.05117854888,TBPD
2023-02,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101151.82563364039,TBPD
2023-01,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,100651.21353414106,TBPD
2022-12,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,100348.63673155247,TBPD
2022-11,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101795.23544978573,TBPD
2022-10,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101688.324222751,TBPD
2022-09,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101525.10772022454,TBPD
2022-08,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,101136.84632560772,TBPD
2022-07,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,100551.49739644777,TBPD
2022-06,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,99328.55648994647,TBPD
2022-05,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,98878.16479892607,TBPD
2022-04,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,98911.39251489486,TBPD
2022-03,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,99748.23277220699,TBPD
2022-02,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,99089.99096794,TBPD
2022-01,53,Total petroleum and other liquids,1,Production,WORL,World,r,Region,,,thousand barrels per day,98337.52581530056,TBPD
